date;ID;resultID;ap_id;ip_ap;expected_download_mbps;expected_upload_mbps;speedtest_server_url;payload_download_size;payload_upload_size;result_download_mbps;result_upload_mbps;result_start_date;result_end_date;duration;result_execution;test_type;workflow_process_id;ap_type;is_satellite;cumple;result_message;flow_id
2023-11-01 05:42:03.850;32589;3568744;6263;172.25.189.203;13440.00;3360.00;http://181.49.90.146;4;2;24167.45;5975.79;2023-11-01 05:42:03.850;2023-11-01 05:43:06.097;62;succeeded;on-demand;MTOD-296484;indoor;1;SI;NULL;1
2023-11-01 06:18:32.073;67843;3568745;5951;172.25.91.43;16800.00;4200.00;http://172.28.103.2;4;2;20283.72;3182.12;2023-11-01 06:18:32.073;2023-11-01 06:21:10.697;158;succeeded;on-demand;MTOD-296485;indoor;0;NO;NULL;1
2023-11-01 06:20:12.483;31870;3568746;8753;172.25.159.51;16800.00;4200.00;http://172.28.103.2;-1;-1;-1.00;-1.00;2023-11-01 06:20:12.483;2023-11-01 06:20:34.320;21;failed;on-demand;MTOD-296486;indoor;0;FALLIDO;error from python script [ 20231101062012-73308074-STX.py ] for speed test on [ 172.25.159.51 ]: [ SpeedTest Python Script Error: Error running Speed test: Socket error: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond  ], exit code [ 1 ].;1
2023-11-01 06:21:15.210;32485;3568747;5367;172.25.49.155;16800.00;4200.00;http://172.28.103.6;-1;-1;-1.00;-1.00;2023-11-01 06:21:15.210;2023-11-01 06:21:37.040;21;failed;on-demand;MTOD-296487;indoor;0;FALLIDO;error from python script [ 20231101062115-74262909-STX.py ] for speed test on [ 172.25.49.155 ]: [ SpeedTest Python Script Error: Error running Speed test: Socket error: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond  ], exit code [ 1 ].;1
2023-11-01 06:21:39.620;32324;3568748;5804;172.25.61.203;16800.00;4200.00;http://181.49.90.146;4;2;19582.33;6431.57;2023-11-01 06:21:39.620;2023-11-01 06:22:40.153;60;succeeded;on-demand;MTOD-296488;indoor;1;SI;NULL;1
2023-11-01 06:23:52.593;32287;3568749;5320;172.25.123.107;16800.00;4200.00;http://181.49.90.146;4;2;27631.89;7689.69;2023-11-01 06:23:52.593;2023-11-01 06:24:54.523;61;succeeded;on-demand;MTOD-296489;indoor;1;SI;NULL;1
2023-11-01 06:31:23.860;31870;3568750;8753;172.25.159.51;16800.00;4200.00;http://172.25.133.10;-1;-1;-1.00;-1.00;2023-11-01 06:31:23.860;2023-11-01 06:31:45.797;21;failed;on-demand;MTOD-296490;indoor;0;FALLIDO;error from python script [ 20231101063122-29487582-STX.py ] for speed test on [ 172.25.159.51 ]: [ SpeedTest Python Script Error: Error running Speed test: Socket error: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond  ], exit code [ 1 ].;1
2023-11-01 07:00:32.523;32580;3568751;7546;172.25.79.51;16800.00;4200.00;http://172.28.103.6;-1;-1;-1.00;-1.00;2023-11-01 07:00:32.523;2023-11-01 07:00:54.383;21;failed;on-demand;MTOD-296491;indoor;0;FALLIDO;error from python script [ 20231101070030-66023956-STX.py ] for speed test on [ 172.25.79.51 ]: [ SpeedTest Python Script Error: Error running Speed test: Socket error: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond  ], exit code [ 1 ].;1
2023-11-01 06:20:17.800;22286;3568752;4126;172.25.120.171;13440.00;3360.00;http://172.25.133.10;4;2;17832.18;8183.57;2023-11-01 06:20:17.800;2023-11-01 06:21:07.223;49;succeeded;scheduled;MT-014280;indoor;0;SI;NULL;1
2023-11-01 06:17:18.610;30522;3568753;4147;172.25.37.155;13440.00;3360.00;http://172.25.133.10;4;2;17813.36;8318.34;2023-11-01 06:17:18.610;2023-11-01 06:18:08.100;49;succeeded;scheduled;MT-014280;indoor;0;SI;NULL;1
2023-11-01 06:19:44.293;31579;3568754;4162;172.25.38.67;13440.00;3360.00;http://172.28.103.2;4;2;17063.49;6199.25;2023-11-01 06:19:44.293;2023-11-01 06:20:34.817;50;succeeded;scheduled;MT-014280;indoor;0;SI;NULL;1
2023-11-01 06:18:59.327;42480;3568755;4181;172.25.56.155;13440.00;3360.00;http://172.28.103.2;4;2;17889.00;8147.29;2023-11-01 06:18:59.327;2023-11-01 06:19:49.750;50;succeeded;scheduled;MT-014280;indoor;0;SI;NULL;1
2023-11-01 06:21:24.200;30248;3568756;4204;172.25.82.211;13440.00;3360.00;http://172.28.103.6;4;2;10101.88;132.15;2023-11-01 06:21:24.200;2023-11-01 06:23:52.523;148;succeeded;scheduled;MT-014280;indoor;0;NO;NULL;1
2023-11-01 06:13:40.630;48585;3568757;4206;172.25.27.195;13440.00;3360.00;http://172.28.103.2;4;2;17647.31;8108.39;2023-11-01 06:13:40.630;2023-11-01 06:14:30.037;49;succeeded;scheduled;MT-014280;indoor;0;SI;NULL;1
2023-11-01 06:27:07.787;30731;3568758;4249;172.28.103.163;16800.00;4200.00;http://172.28.103.2;4;2;16568.20;9450.48;2023-11-01 06:27:07.787;2023-11-01 06:29:36.070;148;succeeded;scheduled;MT-014280;indoor;0;NO;NULL;1
2023-11-01 06:15:25.347;36533;3568759;4264;172.25.59.35;13440.00;3360.00;http://181.49.90.146;4;2;17815.54;8296.88;2023-11-01 06:15:25.347;2023-11-01 06:16:14.743;49;succeeded;scheduled;MT-014280;indoor;0;SI;NULL;1
2023-11-01 06:18:14.753;48657;3568760;4297;172.25.60.27;13440.00;3360.00;http://181.49.90.144;-1;-1;-1.00;-1.00;2023-11-01 06:18:14.753;2023-11-01 06:18:36.567;21;failed;scheduled;MT-014280;indoor;0;FALLIDO;error from python script [ 20231101061814-63431522-STX.py ] for speed test on [ 172.25.60.27 ]: [ SpeedTest Python Script Error: Error running Speed test: Socket error: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond  ], exit code [ 1 ].;1
2023-11-01 06:14:22.390;47354;3568761;4318;172.25.117.11;13440.00;3360.00;http://172.25.133.10;4;2;17794.48;8205.74;2023-11-01 06:14:22.390;2023-11-01 06:15:13.880;51;succeeded;scheduled;MT-014280;indoor;0;SI;NULL;1
2023-11-01 06:19:10.743;38800;3568762;4331;172.28.107.211;13440.00;3360.00;http://172.25.133.10;4;2;17779.36;7737.38;2023-11-01 06:19:10.743;2023-11-01 06:20:01.250;50;succeeded;scheduled;MT-014280;indoor;0;SI;NULL;1
2023-11-01 06:21:01.867;16733;3568763;4348;172.25.56.35;13440.00;3360.00;http://172.28.103.6;-1;-1;-1.00;-1.00;2023-11-01 06:21:01.867;2023-11-01 06:21:23.700;21;failed;scheduled;MT-014280;indoor;0;FALLIDO;error from python script [ 20231101062101-13731487-STX.py ] for speed test on [ 172.25.56.35 ]: [ SpeedTest Python Script Error: Error running Speed test: Socket error: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond  ], exit code [ 1 ].;1
2023-11-01 06:15:02.890;45497;3568764;4373;172.25.33.43;13440.00;3360.00;http://172.28.103.6;4;2;17870.89;3124.78;2023-11-01 06:15:02.890;2023-11-01 06:17:29.443;146;succeeded;scheduled;MT-014280;indoor;0;NO;NULL;1
2023-11-01 06:19:32.853;31651;3568765;4381;172.25.38.107;13440.00;3360.00;http://172.28.103.6;4;2;20911.92;17055.58;2023-11-01 06:19:32.853;2023-11-01 06:20:11.343;38;succeeded;scheduled;MT-014280;indoor;0;SI;NULL;1
2023-11-01 06:15:59.560;31694;3568766;4387;172.25.27.179;13440.00;3360.00;http://172.28.103.2;4;2;17855.62;8309.44;2023-11-01 06:15:59.560;2023-11-01 06:16:51.283;51;succeeded;scheduled;MT-014280;indoor;0;SI;NULL;1
2023-11-01 06:38:10.087;30062;3568767;4393;172.28.103.107;13440.00;3360.00;http://172.28.103.2;4;2;17641.39;8318.58;2023-11-01 06:38:10.087;2023-11-01 06:38:59.470;49;succeeded;scheduled;MT-014280;indoor;0;SI;NULL;1
2023-11-01 06:30:24.147;30443;3568768;4462;172.28.106.123;13440.00;3360.00;http://172.28.103.2;4;2;16348.11;5648.93;2023-11-01 06:30:24.147;2023-11-01 06:31:15.760;51;succeeded;scheduled;MT-014280;indoor;0;SI;NULL;1
